cnt,description,link,org_link,pDate,title
1,"2021년 크래프톤(4조3098억원), SKIET(<b>에스케이아이이티</b> / 2조2459억억원), 현대중공업(1조800억원) 등 공모금액 1조원 이상의 유니콘, 대기업들이 상장했다. 2022년 1분기까지만해도 LG에너지솔루션(12조7500억원) 등 대어(大魚)급... ",https://www.econovill.com/news/articleView.html?idxno=621110,https://www.econovill.com/news/articleView.html?idxno=621110,2023-08-10 13:42:00,나유석 대신증권 IPO 상무 &quot;트렌드·고객니즈 간파해 기업 접점 확대&quot;[ER인터...
2,"역대 IPO 역사상 두 번째로 많은 증거금을 모은 에스케이아이이테크놀로지(SKIET·<b>에스케이아이이티</b>) 공모주를 배정 받은 인물에는 유연상 대통령경호처장 장녀(1주), 류근혁 보건복지부 2차관 차녀(2주), 이명교... ",http://news.mk.co.kr/newsRead.php?no=292521&year=2022,http://news.mk.co.kr/newsRead.php?no=292521&year=2022,2022-03-31 17:22:00,&quot;따상 기대감?&quot; 고위공직자도 공모주 열풍…대부분 소액 투자
3,특히나 <b>에스케이아이이티</b> 청약 때는 청약 때는 부처를 가리지 않고 많은 사람들이 배정을 받았다고 합니다. 공모주 청약이다 보니까 그 수량 자체는 많지 않았는데 1~3주 정도 받았다고 하고요. 또 경제나 금융시장에 대한... ,https://www.ytn.co.kr/_ln/0101_202203310649558944,https://www.ytn.co.kr/_ln/0101_202203310649558944,2022-03-31 06:49:00,"[굿모닝브리핑] 안철수, 이유있는 후퇴...한덕수 급부상"
4,LG에너지솔루션이 지난해 최대 청약 증거금을 끌어모은 SKIET(<b>에스케이아이이티</b>)의 첫날 증거금(22조1594억원)을 웃돌면서 청약 마지막날(19일) 100조원을 돌파할 수 있을 지 업계에 관심이 쏠린다. 지난해 4월... ,http://www.bizwnews.com/news/articleView.html?idxno=31903,http://www.bizwnews.com/news/articleView.html?idxno=31903,2022-01-18 18:02:00,"LG엔솔, 청약 첫날 32조원 몰려… SKIET 넘어 100조원 기대감↑"
5,업계에서는 청약 증거금이 기존 1위인 <b>에스케이아이이티</b>(SKIET·81조원)를 넘어 100조원에 달할 것으로 전망한다. 18일 대표주관사 케이비(KB)증권에 따르면 엘지엔솔 공모 일반 청약을 받는 7개 증권사에 몰린 청약... ,https://www.hani.co.kr/arti/economy/finance/1027839.html,https://www.hani.co.kr/arti/economy/finance/1027839.html,2022-01-18 17:17:00,엘지엔솔 공모 첫날에만 237만명이 32조원 청약
6,업계에서는 일반 청약에서 SKIET(<b>에스케이아이이티</b>)가 기록한 최대 자금 81조원을 훌쩍 뛰어넘어 100조원에 달할 것이란 관측이다. 올해 공모주 최대어로 꼽히는 LG에너지솔루션이 일반 청약을 진행하면서 증권사에 신규... ,http://www.bizwnews.com/news/articleView.html?idxno=31871,http://www.bizwnews.com/news/articleView.html?idxno=31871,2022-01-18 11:46:00,올 'IPO 최대어' LG에너지솔루션 흥행 예고…'모회사 쪼개기' 제도 개선 지적...
7,"이는 카카오뱅크(22.6%), <b>에스케이아이이티</b>(SKIET·15.04%), 에스케이바이오사이언스(1.63%) 등과 견줘 높다. 기관투자자가 일정기간 주식을 팔지 않겠다는 의무보유 확약 비율(44.91%)도 대형 공모주치고는 낮은 편이다.... ",https://www.hani.co.kr/arti/economy/finance/1007079.html,https://www.hani.co.kr/arti/economy/finance/1007079.html,2021-08-10 09:10:00,"크래프톤, 게임대장주 올랐지만 주가는 공모가 밑돌아"
8,"중복 청약이 가능했던 에스케이아이이테크놀로지(SKIET·<b>에스케이아이이티</b>·80조9천억원), 에스케이(SK)바이오사이언스(63조6천억원)는 물론 중복 청약이 막힌 카카오뱅크(58조3천억원)에도 크게 못 미치는 규모다.... ",https://www.hani.co.kr/arti/economy/finance/1006317.html,https://www.hani.co.kr/arti/economy/finance/1006317.html,2021-08-03 17:54:00,‘고평가 논란’ 크래프톤 결국 흥행 실패
9,"중복 청약이 가능했던 에스케이아이이테크놀로지(SKIET·<b>에스케이아이이티</b>·22조2천억원), 에스케이(SK)바이오사이언스(14조1천억원)는 물론 중복 청약이 막힌 카카오뱅크(12조1천억원)에도 못 미치는 성적이다. 통합... ",https://www.hani.co.kr/arti/economy/economy_general/1006177.html,https://www.hani.co.kr/arti/economy/economy_general/1006177.html,2021-08-02 16:58:00,기대 모은 크래프톤 공모주 청약…첫날 흥행 저조
10,역대 증거금 1위와 2위는 중복 청약이 가능했던 에스케이아이이테크놀로지(SKIET·<b>에스케이아이이티</b>)의 80조9천억원과 에스케이(SK)바이오사이언스의 63조6천억원이다. 중복 청약이 불가능했던 카카오뱅크의 증거금은... ,https://www.hani.co.kr/arti/economy/finance/1005995.html,https://www.hani.co.kr/arti/economy/finance/1005995.html,2021-08-01 11:32:00,크래프톤 2~3일 공모주 청약…최소 증거금 249만원
11,진행한 결과 1667곳으로부터 2585조원(623억7743만6000주)이 몰렸다. <b>에스케이아이이티</b>(SKIET)가 기록한 기존 최고치(2417조원)을 넘어섰다. 카카오뱅크는 청약을 거쳐 오는 8월 6일 유가증권(코스피)시장에 상장한다.,http://www.newsworks.co.kr/news/articleView.html?idxno=561938,http://www.newsworks.co.kr/news/articleView.html?idxno=561938,2021-07-26 09:56:00,'중복청약 불가' 카카오뱅크 오늘부터 일반청약…&quot;어느 증권사 유리할까&quot;
12,"대형 종목 하나 상장했다고 관계도 없는 투자자가 매매를 할 수 없는데, 앞으로 어떻게 안심하고 주식거래를 할 수 있을까요?&quot; 지난 5월 11일 <b>에스케이아이이티</b>(SKIET)가 코스피시장에 상장한 날 인터넷 커뮤니티에서... ",http://www.ftoday.co.kr/news/articleView.html?idxno=220069,http://www.ftoday.co.kr/news/articleView.html?idxno=220069,2021-07-21 17:06:00,[기자수첩] 증권사 호황 속 '아킬레스건' 전산장애…하반기 '시험대' 오른다
13,가계 기타대출은 <b>에스케이아이이티</b> 청약 증거금 반환 등으로 5월 5조5000억원 줄어들며 가계대출 감소를 견인했으나 6월 들어서는 주택 및 생활자금 수요가 이어지며 1조3000억원 증가세로 반전했다. 이와 함께... ,http://news.kmib.co.kr/article/view.asp?arcid=0924200835&code=11151300&cp=nv,http://news.kmib.co.kr/article/view.asp?arcid=0924200835&code=11151300&cp=nv,2021-07-15 04:04:00,한달새 10조 폭증… 가계빚 폭탄 ‘째깍째깍’
14,일각에선 최근 <b>에스케이아이이티</b>(SKIET)와 크래프톤을 비롯한 공모가 고평가 논란이 불거진 것이 대형사 독식 구도에서 비롯됐다고 지적한다. 중·소형사는 이미 탄탄한 포트폴리오를 확보한 대형사와의 경쟁을 피해... ,http://www.metroseoul.co.kr/article/20210623500444,http://www.metroseoul.co.kr/article/20210623500444,2021-06-24 06:02:00,증권사 IPO 주관도 '부익부 빈익빈'… 상반기 미래에셋 독주
15,국내 분리막 시장은 <b>에스케이아이이티</b>가 주도적으로 하고 있으며 일본과 중국의 분리막 회사들과 경쟁중이다. SNE리서치에 따르면 세계 분리막 시장의 사용량은 지난해 전체 42억 제곱미터에서 2025년 192억 제곱미터로 4.... ,http://amenews.kr/news/view.php?idx=45368,http://amenews.kr/news/view.php?idx=45368,2021-06-14 10:50:00,‘K-배터리’ 급성장 뒷받침 하는 신소재 바람
16,그러나 에스케이아이이테크놀로지(SKIET·<b>에스케이아이이티</b>) 공모주 청약에 대한 대출이 반환된 것으로 일시적 요인이 컸다. 가계대출 증가세가 지속되면 장기적으로 경제 성장을 제약할 수 있다는 우려가 나온다.... ,http://www.hani.co.kr/arti/economy/economy_general/998785.html,http://www.hani.co.kr/arti/economy/economy_general/998785.html,2021-06-10 12:00:00,가계대출 7년 만에 잠시 주춤…여전히 경제 성장 제약 우려
17,내달 2일 <b>에스케이아이이티</b>(SKIET)가 특례편입에 따라 추가로 코스피 지수 편입이 결정될 가능성도 있다. 통상적으로 지수에 새롭게 편입되는 종목들은 수급이 원활해져 주가가 상승한다. 코스피200과 코스닥150... ,https://www.sedaily.com/NewsView/22MKNY1RJF,https://www.sedaily.com/NewsView/22MKNY1RJF,2021-05-31 07:06:00,코스피200 편입 종목 대차잔고 급증···공매도 타깃되나
18,<b>에스케이아이이티</b>(SKIET) 청약 열풍으로 올해 4월 은행 가계대출이 전달보다 16조원 이상 늘어나며 사상 최대 증가폭을 기록했다. 12일 한국은행이 발표한 '2021년 4월중 금융시장 동향'에 따르면 지난 4월 중 은행... ,http://www.inews24.com/view/1366294,http://www.inews24.com/view/1366294,2021-05-12 12:01:00,4월 가계대출 '역대 최대' 증가…SKIET 청약에만 9조 '빚투'
19,증가 규모가 역대 최대로 에스케이아이이테크놀로지(SKIET·<b>에스케이아이이티</b>) 공모주 청약이 영향을 준 것으로 보인다. 다만 <b>에스케이아이이티</b> 요인을 제외해도 가계부채 증가세가 다시 확대될 조짐이 있어 우려는... ,http://www.hani.co.kr/arti/economy/economy_general/994846.html,http://www.hani.co.kr/arti/economy/economy_general/994846.html,2021-05-12 12:00:00,“SKIET 투자하자” 가계대출 규모까지 흔들었다
20,11일 코스피 시장에 상장한 2차전지 소재업체 <b>에스케이아이이티</b>(SKIET) 주가는 시초가 대비 26.43% 급락한 15만4500원에 마감했다. 개장하자마자 공모가(10만5천원)의 2배로 치솟아 장 초반 22만2500원까지 상승했지만 이내... ,http://www.hani.co.kr/arti/economy/finance/994731.html,http://www.hani.co.kr/arti/economy/finance/994731.html,2021-05-11 16:40:00,공모주 대어들의 묻지마 ‘더블 상’ 깨졌다
21,지난달 28~29일 진행된 일반 공모주 청약에서 80조9017억원으로 역대 최대 증거금 기록을 세운 <b>에스케이아이이티</b>(SKIET)가 코스피 상장 첫날 공모가(10만5000원)의 두 배인 21만원으로 거래를 시작했다가 하락세를... ,http://www.newsworks.co.kr/news/articleView.html?idxno=547640,http://www.newsworks.co.kr/news/articleView.html?idxno=547640,2021-05-11 09:24:00,"상장 첫날 SKIET, 공모가 두 배 출발했지만…하락 이어가"
22,<b>에스케이아이이티</b>(SKIET)가 코스피 상장 첫날 ‘더블 상한가’에 실패했다. 11일 오전 9시 16분 현재 <b>에스케이아이이티</b> 주가는 16만원대에서 거래되고 있다. 장이 열리자마자 <b>에스케이아이이티</b> 주가는 공모가... ,http://www.hani.co.kr/arti/economy/finance/994653.html,http://www.hani.co.kr/arti/economy/finance/994653.html,2021-05-11 09:20:00,"‘공모가 2배’로 시작해 하락 반전…SKIET, ‘더블 상한가’ 실패"
23,<b>에스케이아이이티</b>(SKIET)가 코스피 상장 첫날 공모가(10만5천원)의 2배인 21만원으로 거래를 시작했다. 11일 오전 9시 현재 주가 급등에 따른 변동성 완화장치(VI)가 발동돼 2분간 거래가 중단된채 단일가 주문을... ,http://www.hani.co.kr/arti/economy/finance/994651.html,http://www.hani.co.kr/arti/economy/finance/994651.html,2021-05-11 09:04:00,"SKIET, 코스피 상장 첫날 ‘공모가 2배’ 21만원으로 거래 시작"
24,일시 급등 가능성도 [한국금융신문 홍승빈 기자] 역대 최대 청약 증거금인 81조원을 끌어모은 <b>에스케이아이이티</b>(SKIET)가 11일 코스피 시장에 상장한다. 시장의 관심은 SKIET가 상장 첫날 공모가의 두 배에... ,http://www.fntimes.com/html/view.php?ud=2021051016432164476c0eb6f11e_18,http://www.fntimes.com/html/view.php?ud=2021051016432164476c0eb6f11e_18,2021-05-11 04:02:00,81조원 증거금 몰린 SKIET 오늘 상장...‘따상’ 가능할까
25,역대 최대인 81조원의 청약자금을 끌어모은 <b>에스케이아이이티</b>(SKIET)가 11일 코스피 시장에 상장한다. 지난해 7월 계열사인 에스케이바이오팜과 올해 3월 에스케이바이오사이언스가 상장 첫날 기록한 더블상한가... ,http://www.hani.co.kr/arti/economy/finance/994558.html,http://www.hani.co.kr/arti/economy/finance/994558.html,2021-05-10 15:29:00,81조 끌어모은 SKIET ‘더블 상한가’ 가능할까
26,지난달 <b>에스케이아이이티</b>(SKIET) 공모주 일반청약에서 약 81조원을 끌어모았는데도 그 뿐이었다. 코스피 지수는 지지부진한 상황을 면치못하고 있고 이후 투자자금이 썰물처럼 밀려나가고 있다. SKIET 일반청약 이후... ,https://www.econovill.com/news/articleView.html?idxno=530999,https://www.econovill.com/news/articleView.html?idxno=530999,2021-05-08 12:02:00,[데스크칼럼] '후천적 금수저'가 낳은 폐해
27,금융감독원은 <b>에스케이아이이티</b>(SKIET) 청약 직전인 4월 신용대출이 크게 늘었다가 이달 초 증거금 환불로 신용대출 잔액이 다시 줄어든 것으로 파악하고 있다. 하지만 7월부터 소득 기준으로 상환능력을 따져 대출... ,http://www.hani.co.kr/arti/economy/finance/993983.html,http://www.hani.co.kr/arti/economy/finance/993983.html,2021-05-05 15:43:00,"가계대출 증가세 다시 확대…당국, 은행에 ‘꼼꼼한 대출심사’ 요청"
28,"같은 날 오후 청와대 국민청원 게시판에는 ‘일반청약자를 무시하고 말장난을 하는 <b>에스케이아이이티</b>와 미래에셋증권, 금융위원회에 대한 조치를 해주시기 바랍니다’라는 청원글이 올라오기도 했다. 이에... ",http://4th.kr/View.aspx?No=1587050,http://4th.kr/View.aspx?No=1587050,2021-04-30 19:58:00,SKIET 우리사주 실권주 106만주 개인에게…'0주 배정' 110만명으로 줄듯
29,에스케이아이이테크놀로지(SKIET·<b>에스케이아이이티</b>) 우리사주조합 청약에서 발생한 실권 물량을 규정과 달리 개인이 아닌 기관투자자에게 전량 배정하기로 결정했다는 &lt;한겨레&gt; 보도를 접한 개인투자자들의 항의가... ,http://www.hani.co.kr/arti/economy/finance/993263.html,http://www.hani.co.kr/arti/economy/finance/993263.html,2021-04-29 19:37:00,거센 ‘반발’에 SKIET 우리사주 미달 물량 기관배정 재검토
30,에스케이아이이테크놀로지(SKIET·<b>에스케이아이이티</b>) 일반공모에 역대 최대인 80조원이 넘는 자금이 몰린 가운데 우리사주조합 청약에서는 30%대의 미달이 발생했다. 대표주관사인 미래에셋증권은 규정과는 달리 이... ,http://www.hani.co.kr/arti/economy/finance/993182.html,http://www.hani.co.kr/arti/economy/finance/993182.html,2021-04-29 14:51:00,[단독] SKIET 우리사주 청약 30%대 미달…실권물량 기관에 배정 ‘논란’
31,'중복청약 막차'로 관측되는 <b>에스케이아이이티</b>(이하 SKIET) 공모주 청약을 하루 앞두고 계좌 개설을 위한 대기시간이 길어지자 동네 주민들끼리 증권사를 나눠 번호표를 뽑아주는 '품앗이'가 벌어진 것이다. ■새벽... ,http://www.fnnews.com/news/202104271821059150,http://www.fnnews.com/news/202104271821059150,2021-04-27 18:22:00,'중복청약 막차' SKIET 열풍… 계좌 만들려 밤새 줄서고 대기자금 폭발
32,<b>에스케이아이이티</b>테크놀로지(이하 SKIET)가 공모주 일반 청약을 오는 28일 오전 10시부터 받는다. 27일 SKIET 증권보고서에 따르면 회사 측은 청약 시간을 ‘28일~29일 8시~16시’에서 ‘28일~29일 10시~16시’로... ,http://www.newsway.co.kr/news/view?tp=1&ud=2021042717222180644,http://www.newsway.co.kr/news/view?tp=1&ud=2021042717222180644,2021-04-27 17:24:00,"SKIET 청약, 오전 8시에서 10시로 변경…전산장애 대비"
33,오는 28일부터 공모주 일반 청약을 개시하는 <b>에스케이아이이티</b>테크놀로지(이하 SKIET)가 이날 오전 10시부터 공모주 청약을 받는다. 전산장애 발생 등을 우려해 일반적인 청약 개시 시간인 오전 9시보다 한 시간... ,http://www.fnnews.com/news/202104271656033776,http://www.fnnews.com/news/202104271656033776,2021-04-27 17:07:00,SKIET 청약 1시간 늦춘 오전 10시부터...&quot;전산장애 대비&quot;
34,'중복청약 막차'로 관측되는 <b>에스케이아이이티</b>(이하 SKIET) 공모주 청약을 하루 앞두고 계좌 개설을 위한 대기 시간이 길어지자 동네 주민들끼리 증권사를 나눠 번호표를 뽑아주는 ‘품앗이’가 벌어진 것이다.... ,http://www.fnnews.com/news/202104271547181840,http://www.fnnews.com/news/202104271547181840,2021-04-27 16:03:00,SKIET '마지막 중복청약'에 '대기 품앗이'까지...CMA 계좌 2500만좌 돌파
35,26일 상장주관사 미래에셋증권은 <b>에스케이아이이티</b>의 공모가가 희망가격 범위의 상단인 10만5천원으로 확정됐다고 공시했다. 공모금액은 2조2460억원에 달해 지난달 공모했던 에스케이바이오사이언스(1조4918억원)... ,http://www.hani.co.kr/arti/economy/finance/992645.html,http://www.hani.co.kr/arti/economy/finance/992645.html,2021-04-26 16:35:00,"‘초대형 공모’ SKIET, 공모주 신기록 쓰나"
